customer_id,segment,region,acquisition_channel,lifetime_value,avg_order_frequency,price_sensitivity_score,preferred_channel,return_rate_historical,is_active
C00001,B2C Consumer,Southwest,Referral,621.9,3.45,0.769,Online,0.073,1
C00002,B2C Consumer,West Coast,Social Media,528.59,3.13,0.525,In-Store,0.098,1
C00003,B2C Consumer,Southwest,Referral,1620.21,3.03,0.503,Online,0.086,1
C00004,B2C Consumer,Southwest,Social Media,1042.63,2.64,0.853,Online,0.085,1
C00005,B2C Consumer,Midwest,Referral,1597.35,1.93,0.529,In-Store,0.099,1
C00006,B2C Consumer,Northeast,Paid Search,424.65,3.21,0.698,Online,0.085,1
C00007,B2C Consumer,International,Organic Search,795.19,3.16,0.64,Online,0.086,1
C00008,B2C Consumer,Southeast,Paid Search,1234.43,2.49,0.917,In-Store,0.08,1
C00009,B2C Consumer,Southwest,Organic Search,2410.7,3.61,0.836,Online,0.088,0
C00010,B2C Consumer,Southwest,Social Media,834.8,2.24,0.574,Online,0.083,1
C00011,B2C Consumer,Midwest,Email Campaign,1825.77,3.32,0.847,Online,0.081,1
C00012,B2C Consumer,Northeast,Social Media,961.07,1.66,0.64,Online,0.092,1
C00013,B2C Consumer,Midwest,Email Campaign,1286.09,1.8,0.821,In-Store,0.087,1
C00014,B2C Consumer,Midwest,Organic Search,1834.52,1.78,0.698,Online,0.097,1
C00015,B2C Consumer,West Coast,Social Media,2287.4,2.12,0.685,In-Store,0.077,1
C00016,B2C Consumer,Midwest,Email Campaign,570.81,3.82,0.864,Online,0.096,1
C00017,B2C Consumer,Southwest,Social Media,2252.89,2.85,0.863,In-Store,0.08,1
C00018,B2C Consumer,Northeast,Email Campaign,1182.35,3.55,0.887,Online,0.085,1
C00019,B2C Consumer,West Coast,Organic Search,475.69,2.34,0.924,Online,0.086,1
C00020,B2C Consumer,Northeast,Direct / Walk-in,2435.1,3.91,0.613,Online,0.079,1
C00021,B2C Consumer,Northeast,Email Campaign,1602.0,2.76,0.523,Online,0.097,1
C00022,B2C Consumer,Southeast,Referral,1325.74,3.96,0.609,Online,0.093,1
C00023,B2C Consumer,International,Referral,1654.3,3.08,0.741,Online,0.095,1
C00024,B2C Consumer,International,Referral,2174.23,2.31,0.599,In-Store,0.094,1
C00025,B2C Consumer,Southwest,Organic Search,1789.16,2.47,0.922,Online,0.08,1
C00026,B2C Consumer,International,Paid Search,793.27,3.15,0.868,Online,0.086,1
C00027,B2C Consumer,International,Social Media,1484.07,3.71,0.585,Online,0.091,1
C00028,B2C Consumer,Southwest,Direct / Walk-in,1993.71,3.11,0.538,Online,0.097,1
C00029,B2C Consumer,Midwest,Direct / Walk-in,2362.31,3.93,0.628,Online,0.085,1
C00030,B2C Consumer,West Coast,Organic Search,604.63,1.55,0.722,Online,0.081,1
C00031,B2C Consumer,Midwest,Organic Search,908.54,2.86,0.729,Online,0.078,1
C00032,B2C Consumer,International,Referral,1319.51,3.77,0.695,Online,0.089,1
