inventory_id,product_id,warehouse_id,snapshot_date,opening_stock,units_received,units_sold,closing_stock,days_of_supply,units_on_order,reorder_triggered,stockout_flag,fill_rate_daily
INV0000001,P0001,WH001,2023-10-01,693,0,32,661,33.4,0,0,0,1.0
INV0000002,P0001,WH001,2023-10-02,661,0,51,610,30.8,0,0,0,1.0
INV0000003,P0001,WH001,2023-10-03,610,0,41,569,28.7,0,0,0,1.0
INV0000004,P0001,WH001,2023-10-04,569,0,20,549,27.7,0,0,0,1.0
INV0000005,P0001,WH001,2023-10-05,549,0,7,542,27.4,0,0,0,1.0
INV0000006,P0001,WH001,2023-10-06,542,0,17,525,26.5,0,0,0,1.0
INV0000007,P0001,WH001,2023-10-07,525,0,13,512,25.9,0,0,0,1.0
INV0000008,P0001,WH001,2023-10-08,512,0,15,497,25.1,0,0,0,1.0
INV0000009,P0001,WH001,2023-10-09,497,0,18,479,24.2,161,1,0,1.0
INV0000010,P0001,WH001,2023-10-10,479,0,23,456,23.0,161,0,0,1.0
INV0000011,P0001,WH001,2023-10-11,456,0,37,419,21.2,161,0,0,1.0
INV0000012,P0001,WH001,2023-10-12,419,0,27,392,19.8,161,0,0,1.0
INV0000013,P0001,WH001,2023-10-13,392,0,20,372,18.8,161,0,0,1.0
INV0000014,P0001,WH001,2023-10-14,372,0,13,359,18.1,161,0,0,1.0
INV0000015,P0001,WH001,2023-10-15,359,0,37,322,16.3,161,0,0,1.0
INV0000016,P0001,WH001,2023-10-16,322,0,21,301,15.2,161,0,0,1.0
INV0000017,P0001,WH001,2023-10-17,301,0,10,291,14.7,161,0,0,1.0
INV0000018,P0001,WH001,2023-10-18,291,0,4,287,14.5,161,0,0,1.0
INV0000019,P0001,WH001,2023-10-19,287,0,22,265,13.4,161,0,0,1.0
INV0000020,P0001,WH001,2023-10-20,265,0,2,263,13.3,161,0,0,1.0
INV0000021,P0001,WH001,2023-10-21,263,0,13,250,12.6,161,0,0,1.0
INV0000022,P0001,WH001,2023-10-22,250,0,37,213,10.8,161,0,0,1.0
INV0000023,P0001,WH001,2023-10-23,213,0,15,198,10.0,161,0,0,1.0
INV0000024,P0001,WH001,2023-10-24,198,0,68,130,6.6,161,0,0,1.0
INV0000025,P0001,WH001,2023-10-25,130,0,5,125,6.3,161,0,0,1.0
INV0000026,P0001,WH001,2023-10-26,125,0,8,117,5.9,161,0,0,1.0
INV0000027,P0001,WH001,2023-10-27,117,0,41,76,3.8,161,0,0,1.0
INV0000028,P0001,WH001,2023-10-28,237,161,19,218,11.0,161,1,0,1.0
INV0000029,P0001,WH001,2023-10-29,218,0,9,209,10.6,161,0,0,1.0
INV0000030,P0001,WH001,2023-10-30,209,0,13,196,9.9,161,0,0,1.0
INV0000031,P0001,WH001,2023-10-31,196,0,31,165,8.3,161,0,0,1.0
INV0000032,P0001,WH001,2023-11-01,165,0,49,116,5.9,161,0,0,1.0
INV0000033,P0001,WH001,2023-11-02,116,0,8,108,5.5,161,0,0,1.0
INV0000034,P0001,WH001,2023-11-03,108,0,52,56,2.8,161,0,0,1.0
INV0000035,P0001,WH001,2023-11-04,56,0,56,0,0.0,161,0,1,0.9492
INV0000036,P0001,WH001,2023-11-05,0,0,0,0,0.0,161,0,1,0.0
INV0000037,P0001,WH001,2023-11-06,0,0,0,0,0.0,161,0,1,0.0
INV0000038,P0001,WH001,2023-11-07,0,0,0,0,0.0,161,0,1,0.0
INV0000039,P0001,WH001,2023-11-08,0,0,0,0,0.0,161,0,1,0.0
INV0000040,P0001,WH001,2023-11-09,0,0,0,0,0.0,161,0,1,0.0
INV0000041,P0001,WH001,2023-11-10,0,0,0,0,0.0,161,0,1,0.0
INV0000042,P0001,WH001,2023-11-11,0,0,0,0,0.0,161,0,1,0.0
INV0000043,P0001,WH001,2023-11-12,0,0,0,0,0.0,161,0,1,0.0
INV0000044,P0001,WH001,2023-11-13,0,0,0,0,0.0,161,0,1,0.0
INV0000045,P0001,WH001,2023-11-14,0,0,0,0,0.0,161,0,1,0.0
INV0000046,P0001,WH001,2023-11-15,0,0,0,0,0.0,161,0,1,0.0
INV0000047,P0001,WH001,2023-11-16,161,161,68,93,4.7,161,1,0,1.0
INV0000048,P0001,WH001,2023-11-17,93,0,22,71,3.6,161,0,0,1.0
INV0000049,P0001,WH001,2023-11-18,71,0,17,54,2.7,161,0,0,1.0
INV0000050,P0001,WH001,2023-11-19,54,0,54,0,0.0,161,0,1,0.551
INV0000051,P0001,WH001,2023-11-20,0,0,0,0,0.0,161,0,1,0.0
INV0000052,P0001,WH001,2023-11-21,0,0,0,0,0.0,161,0,1,0.0
INV0000053,P0001,WH001,2023-11-22,0,0,0,0,0.0,161,0,1,0.0
INV0000054,P0001,WH001,2023-11-23,0,0,0,0,0.0,161,0,1,0.0
INV0000055,P0001,WH001,2023-11-24,0,0,0,0,0.0,161,0,1,0.0
INV0000056,P0001,WH001,2023-11-25,0,0,0,0,0.0,161,0,1,0.0
INV0000057,P0001,WH001,2023-11-26,0,0,0,0,0.0,161,0,1,0.0
INV0000058,P0001,WH001,2023-11-27,0,0,0,0,0.0,161,0,1,0.0
INV0000059,P0001,WH001,2023-11-28,0,0,0,0,0.0,161,0,1,0.0
INV0000060,P0001,WH001,2023-11-29,0,0,0,0,0.0,161,0,1,0.0
INV0000061,P0001,WH001,2023-11-30,0,0,0,0,0.0,161,0,1,0.0
INV0000062,P0001,WH001,2023-12-01,0,0,0,0,0.0,161,0,1,0.0
INV0000063,P0001,WH001,2023-12-02,0,0,0,0,0.0,161,0,1,0.0
INV0000064,P0001,WH001,2023-12-03,0,0,0,0,0.0,161,0,1,0.0
INV0000065,P0001,WH001,2023-12-04,0,0,0,0,0.0,161,0,1,0.0
INV0000066,P0001,WH001,2023-12-05,161,161,26,135,6.8,161,1,0,1.0
INV0000067,P0001,WH001,2023-12-06,135,0,53,82,4.1,161,0,0,1.0
INV0000068,P0001,WH001,2023-12-07,82,0,8,74,3.7,161,0,0,1.0
INV0000069,P0001,WH001,2023-12-08,74,0,2,72,3.6,161,0,0,1.0
INV0000070,P0001,WH001,2023-12-09,72,0,21,51,2.6,161,0,0,1.0
INV0000071,P0001,WH001,2023-12-10,51,0,23,28,1.4,161,0,0,1.0
INV0000072,P0001,WH001,2023-12-11,28,0,28,0,0.0,161,0,1,0.875
INV0000073,P0001,WH001,2023-12-12,0,0,0,0,0.0,161,0,1,0.0
INV0000074,P0001,WH001,2023-12-13,0,0,0,0,0.0,161,0,1,0.0
INV0000075,P0001,WH001,2023-12-14,0,0,0,0,0.0,161,0,1,0.0
INV0000076,P0001,WH001,2023-12-15,0,0,0,0,0.0,161,0,1,0.0
INV0000077,P0001,WH001,2023-12-16,0,0,0,0,0.0,161,0,1,0.0
INV0000078,P0001,WH001,2023-12-17,0,0,0,0,0.0,161,0,1,0.0
INV0000079,P0001,WH001,2023-12-18,0,0,0,0,0.0,161,0,1,0.0
INV0000080,P0001,WH001,2023-12-19,0,0,0,0,0.0,161,0,1,0.0
INV0000081,P0001,WH001,2023-12-20,0,0,0,0,0.0,161,0,1,0.0
INV0000082,P0001,WH001,2023-12-21,0,0,0,0,0.0,161,0,1,0.0
INV0000083,P0001,WH001,2023-12-22,0,0,0,0,0.0,161,0,1,0.0
INV0000084,P0001,WH001,2023-12-23,0,0,0,0,0.0,161,0,1,0.0
INV0000085,P0001,WH001,2023-12-24,161,161,45,116,5.9,161,1,0,1.0
INV0000086,P0001,WH001,2023-12-25,116,0,13,103,5.2,161,0,0,1.0
INV0000087,P0001,WH001,2023-12-26,103,0,10,93,4.7,161,0,0,1.0
INV0000088,P0001,WH001,2023-12-27,93,0,12,81,4.1,161,0,0,1.0
INV0000089,P0001,WH001,2023-12-28,81,0,50,31,1.6,161,0,0,1.0
INV0000090,P0001,WH001,2023-12-29,31,0,31,0,0.0,161,0,1,0.3827
INV0000091,P0001,WH001,2023-12-30,0,0,0,0,0.0,161,0,1,0.0
INV0000092,P0001,WH001,2023-12-31,0,0,0,0,0.0,161,0,1,0.0
INV0000093,P0001,WH001,2024-01-01,0,0,0,0,0.0,161,0,1,0.0
INV0000094,P0001,WH001,2024-01-02,0,0,0,0,0.0,161,0,1,0.0
INV0000095,P0001,WH001,2024-01-03,0,0,0,0,0.0,161,0,1,0.0
INV0000096,P0001,WH001,2024-01-04,0,0,0,0,0.0,161,0,1,0.0
INV0000097,P0001,WH001,2024-01-05,0,0,0,0,0.0,161,0,1,0.0
INV0000098,P0001,WH001,2024-01-06,0,0,0,0,0.0,161,0,1,0.0
INV0000099,P0001,WH001,2024-01-07,0,0,0,0,0.0,161,0,1,0.0
INV0000100,P0001,WH001,2024-01-08,0,0,0,0,0.0,161,0,1,0.0
INV0000101,P0001,WH001,2024-01-09,0,0,0,0,0.0,161,0,1,0.0
INV0000102,P0001,WH001,2024-01-10,0,0,0,0,0.0,161,0,1,0.0
INV0000103,P0001,WH001,2024-01-11,0,0,0,0,0.0,161,0,1,0.0
INV0000104,P0001,WH001,2024-01-12,161,161,32,129,6.5,161,1,0,1.0
INV0000105,P0001,WH001,2024-01-13,129,0,30,99,5.0,161,0,0,1.0
INV0000106,P0001,WH001,2024-01-14,99,0,12,87,4.4,161,0,0,1.0
INV0000107,P0001,WH001,2024-01-15,87,0,30,57,2.9,161,0,0,1.0
INV0000108,P0001,WH001,2024-01-16,57,0,0,57,2.9,161,0,0,1.0
INV0000109,P0001,WH001,2024-01-17,57,0,15,42,2.1,161,0,0,1.0
INV0000110,P0001,WH001,2024-01-18,42,0,16,26,1.3,161,0,0,1.0
INV0000111,P0001,WH001,2024-01-19,26,0,4,22,1.1,161,0,0,1.0
INV0000112,P0001,WH001,2024-01-20,22,0,2,20,1.0,161,0,0,1.0
INV0000113,P0001,WH001,2024-01-21,20,0,12,8,0.4,161,0,0,1.0
INV0000114,P0001,WH001,2024-01-22,8,0,8,0,0.0,161,0,1,0.381
INV0000115,P0001,WH001,2024-01-23,0,0,0,0,0.0,161,0,1,0.0
INV0000116,P0001,WH001,2024-01-24,0,0,0,0,0.0,161,0,1,0.0
INV0000117,P0001,WH001,2024-01-25,0,0,0,0,0.0,161,0,1,0.0
INV0000118,P0001,WH001,2024-01-26,0,0,0,0,0.0,161,0,1,0.0
INV0000119,P0001,WH001,2024-01-27,0,0,0,0,0.0,161,0,1,0.0
INV0000120,P0001,WH001,2024-01-28,0,0,0,0,0.0,161,0,1,0.0
INV0000121,P0001,WH001,2024-01-29,0,0,0,0,0.0,161,0,1,0.0
INV0000122,P0001,WH001,2024-01-30,0,0,0,0,0.0,161,0,1,0.0
INV0000123,P0001,WH001,2024-01-31,161,161,28,133,6.7,161,1,0,1.0
INV0000124,P0001,WH001,2024-02-01,133,0,5,128,6.5,161,0,0,1.0
INV0000125,P0001,WH001,2024-02-02,128,0,31,97,4.9,161,0,0,1.0
INV0000126,P0001,WH001,2024-02-03,97,0,8,89,4.5,161,0,0,1.0
INV0000127,P0001,WH001,2024-02-04,89,0,3,86,4.3,161,0,0,1.0
INV0000128,P0001,WH001,2024-02-05,86,0,16,70,3.5,161,0,0,1.0
INV0000129,P0001,WH001,2024-02-06,70,0,11,59,3.0,161,0,0,1.0
INV0000130,P0001,WH001,2024-02-07,59,0,6,53,2.7,161,0,0,1.0
INV0000131,P0001,WH001,2024-02-08,53,0,12,41,2.1,161,0,0,1.0
INV0000132,P0001,WH001,2024-02-09,41,0,5,36,1.8,161,0,0,1.0
INV0000133,P0001,WH001,2024-02-10,36,0,13,23,1.2,161,0,0,1.0
INV0000134,P0001,WH001,2024-02-11,23,0,6,17,0.9,161,0,0,1.0
INV0000135,P0001,WH001,2024-02-12,17,0,13,4,0.2,161,0,0,1.0
INV0000136,P0001,WH001,2024-02-13,4,0,4,0,0.0,161,0,1,0.2353
INV0000137,P0001,WH001,2024-02-14,0,0,0,0,0.0,161,0,1,0.0
INV0000138,P0001,WH001,2024-02-15,0,0,0,0,0.0,161,0,1,0.0
INV0000139,P0001,WH001,2024-02-16,0,0,0,0,0.0,161,0,1,0.0
INV0000140,P0001,WH001,2024-02-17,0,0,0,0,0.0,161,0,1,0.0
INV0000141,P0001,WH001,2024-02-18,0,0,0,0,0.0,161,0,1,0.0
INV0000142,P0001,WH001,2024-02-19,161,161,29,132,6.7,161,1,0,1.0
INV0000143,P0001,WH001,2024-02-20,132,0,16,116,5.9,161,0,0,1.0
INV0000144,P0001,WH001,2024-02-21,116,0,21,95,4.8,161,0,0,1.0
INV0000145,P0001,WH001,2024-02-22,95,0,16,79,4.0,161,0,0,1.0
INV0000146,P0001,WH001,2024-02-23,79,0,31,48,2.4,161,0,0,1.0
INV0000147,P0001,WH001,2024-02-24,48,0,12,36,1.8,161,0,0,1.0
INV0000148,P0001,WH001,2024-02-25,36,0,11,25,1.3,161,0,0,1.0
INV0000149,P0001,WH001,2024-02-26,25,0,25,0,0.0,161,0,1,0.9615
INV0000150,P0001,WH001,2024-02-27,0,0,0,0,0.0,161,0,1,0.0
INV0000151,P0001,WH001,2024-02-28,0,0,0,0,0.0,161,0,1,0.0
INV0000152,P0001,WH001,2024-02-29,0,0,0,0,0.0,161,0,1,0.0
INV0000153,P0001,WH001,2024-03-01,0,0,0,0,0.0,161,0,1,0.0
INV0000154,P0001,WH001,2024-03-02,0,0,0,0,0.0,161,0,1,0.0
INV0000155,P0001,WH001,2024-03-03,0,0,0,0,0.0,161,0,1,0.0
INV0000156,P0001,WH001,2024-03-04,0,0,0,0,0.0,161,0,1,0.0
INV0000157,P0001,WH001,2024-03-05,0,0,0,0,0.0,161,0,1,0.0
INV0000158,P0001,WH001,2024-03-06,0,0,0,0,0.0,161,0,1,0.0
INV0000159,P0001,WH001,2024-03-07,0,0,0,0,0.0,161,0,1,0.0
INV0000160,P0001,WH001,2024-03-08,0,0,0,0,0.0,161,0,1,0.0
INV0000161,P0001,WH001,2024-03-09,161,161,21,140,7.1,161,1,0,1.0
INV0000162,P0001,WH001,2024-03-10,140,0,14,126,6.4,161,0,0,1.0
INV0000163,P0001,WH001,2024-03-11,126,0,50,76,3.8,161,0,0,1.0
INV0000164,P0001,WH001,2024-03-12,76,0,23,53,2.7,161,0,0,1.0
INV0000165,P0001,WH001,2024-03-13,53,0,12,41,2.1,161,0,0,1.0
INV0000166,P0001,WH001,2024-03-14,41,0,20,21,1.1,161,0,0,1.0
INV0000167,P0001,WH001,2024-03-15,21,0,21,0,0.0,161,0,1,0.9545
INV0000168,P0001,WH001,2024-03-16,0,0,0,0,0.0,161,0,1,0.0
INV0000169,P0001,WH001,2024-03-17,0,0,0,0,0.0,161,0,1,0.0
INV0000170,P0001,WH001,2024-03-18,0,0,0,0,0.0,161,0,1,0.0
INV0000171,P0001,WH001,2024-03-19,0,0,0,0,0.0,161,0,1,0.0
INV0000172,P0001,WH001,2024-03-20,0,0,0,0,0.0,161,0,1,0.0
INV0000173,P0001,WH001,2024-03-21,0,0,0,0,0.0,161,0,1,0.0
INV0000174,P0001,WH001,2024-03-22,0,0,0,0,0.0,161,0,1,0.0
INV0000175,P0001,WH001,2024-03-23,0,0,0,0,0.0,161,0,1,0.0
INV0000176,P0001,WH001,2024-03-24,0,0,0,0,0.0,161,0,1,0.0
INV0000177,P0001,WH001,2024-03-25,0,0,0,0,0.0,161,0,1,0.0
INV0000178,P0001,WH001,2024-03-26,0,0,0,0,0.0,161,0,1,0.0
INV0000179,P0001,WH001,2024-03-27,0,0,0,0,0.0,161,0,1,0.0
INV0000180,P0001,WH001,2024-03-28,161,161,12,149,7.5,161,1,0,1.0
INV0000181,P0001,WH001,2024-03-29,149,0,9,140,7.1,161,0,0,1.0
INV0000182,P0001,WH001,2024-03-30,140,0,10,130,6.6,161,0,0,1.0
INV0000183,P0001,WH001,2024-03-31,130,0,15,115,5.8,161,0,0,1.0
INV0000184,P0001,WH001,2024-04-01,115,0,20,95,4.8,161,0,0,1.0
INV0000185,P0001,WH001,2024-04-02,95,0,3,92,4.6,161,0,0,1.0
INV0000186,P0001,WH001,2024-04-03,92,0,23,69,3.5,161,0,0,1.0
INV0000187,P0001,WH001,2024-04-04,69,0,45,24,1.2,161,0,0,1.0
INV0000188,P0001,WH001,2024-04-05,24,0,24,0,0.0,161,0,1,0.6857
INV0000189,P0001,WH001,2024-04-06,0,0,0,0,0.0,161,0,1,0.0
INV0000190,P0001,WH001,2024-04-07,0,0,0,0,0.0,161,0,1,0.0
INV0000191,P0001,WH001,2024-04-08,0,0,0,0,0.0,161,0,1,0.0
INV0000192,P0001,WH001,2024-04-09,0,0,0,0,0.0,161,0,1,0.0
INV0000193,P0001,WH001,2024-04-10,0,0,0,0,0.0,161,0,1,0.0
INV0000194,P0001,WH001,2024-04-11,0,0,0,0,0.0,161,0,1,0.0
INV0000195,P0001,WH001,2024-04-12,0,0,0,0,0.0,161,0,1,0.0
INV0000196,P0001,WH001,2024-04-13,0,0,0,0,0.0,161,0,1,0.0
INV0000197,P0001,WH001,2024-04-14,0,0,0,0,0.0,161,0,1,0.0
INV0000198,P0001,WH001,2024-04-15,0,0,0,0,0.0,161,0,1,0.0
INV0000199,P0001,WH001,2024-04-16,161,161,20,141,7.1,161,1,0,1.0
INV0000200,P0001,WH001,2024-04-17,141,0,43,98,4.9,161,0,0,1.0
INV0000201,P0001,WH001,2024-04-18,98,0,20,78,3.9,161,0,0,1.0
INV0000202,P0001,WH001,2024-04-19,78,0,4,74,3.7,161,0,0,1.0
INV0000203,P0001,WH001,2024-04-20,74,0,25,49,2.5,161,0,0,1.0
INV0000204,P0001,WH001,2024-04-21,49,0,10,39,2.0,161,0,0,1.0
INV0000205,P0001,WH001,2024-04-22,39,0,12,27,1.4,161,0,0,1.0
INV0000206,P0001,WH001,2024-04-23,27,0,27,0,0.0,161,0,1,0.9643
INV0000207,P0001,WH001,2024-04-24,0,0,0,0,0.0,161,0,1,0.0
INV0000208,P0001,WH001,2024-04-25,0,0,0,0,0.0,161,0,1,0.0
INV0000209,P0001,WH001,2024-04-26,0,0,0,0,0.0,161,0,1,0.0
INV0000210,P0001,WH001,2024-04-27,0,0,0,0,0.0,161,0,1,0.0
INV0000211,P0001,WH001,2024-04-28,0,0,0,0,0.0,161,0,1,0.0
INV0000212,P0001,WH001,2024-04-29,0,0,0,0,0.0,161,0,1,0.0
INV0000213,P0001,WH001,2024-04-30,0,0,0,0,0.0,161,0,1,0.0
INV0000214,P0001,WH001,2024-05-01,0,0,0,0,0.0,161,0,1,0.0
INV0000215,P0001,WH001,2024-05-02,0,0,0,0,0.0,161,0,1,0.0
INV0000216,P0001,WH001,2024-05-03,0,0,0,0,0.0,161,0,1,0.0
INV0000217,P0001,WH001,2024-05-04,0,0,0,0,0.0,161,0,1,0.0
INV0000218,P0001,WH001,2024-05-05,161,161,34,127,6.4,161,1,0,1.0
INV0000219,P0001,WH001,2024-05-06,127,0,7,120,6.1,161,0,0,1.0
INV0000220,P0001,WH001,2024-05-07,120,0,16,104,5.3,161,0,0,1.0
INV0000221,P0001,WH001,2024-05-08,104,0,25,79,4.0,161,0,0,1.0
INV0000222,P0001,WH001,2024-05-09,79,0,10,69,3.5,161,0,0,1.0
