return_id,order_id,customer_id,product_id,return_date,days_to_return,quantity_returned,return_reason,return_channel,refund_amount,return_disposition
RET000001,ORD0000020,C01812,P0021,2023-10-15,14,6,Not as described,In-Store,7574.46,Resaleable — return to stock
RET000002,ORD0000037,C01007,P0038,2023-10-15,14,9,Product defective,In-Store,2464.14,Resaleable — return to stock
RET000003,ORD0000039,C01249,P0040,2023-10-31,30,17,Not as described,Online Portal,1483.59,Resaleable — return to stock
RET000004,ORD0000045,C01251,P0046,2023-10-31,30,8,Not as described,Online Portal,2366.56,Resaleable — return to stock
RET000005,ORD0000091,C00379,P0092,2023-10-15,14,16,Not as described,In-Store,603.68,Resaleable — return to stock
RET000006,ORD0000099,C00447,P0100,2023-10-31,30,38,Better price found,Online Portal,641.44,Resaleable — return to stock
RET000007,ORD0000103,C00959,P0104,2023-10-22,21,48,Product defective,In-Store,4584.96,Return to vendor
RET000008,ORD0000105,C01787,P0106,2023-10-08,7,30,Damaged in transit,Online Portal,2445.9,Refurbish / re-grade
RET000009,ORD0000119,C00267,P0120,2023-10-31,30,4,Not as described,In-Store,520.76,Refurbish / re-grade
RET000010,ORD0000123,C00112,P0124,2023-10-15,14,12,Product defective,In-Store,5445.6,Resaleable — return to stock
RET000011,ORD0000132,C00344,P0133,2023-10-22,21,11,Wrong size / fit,Online Portal,1717.65,Resaleable — return to stock
RET000012,ORD0000143,C00805,P0009,2023-10-23,21,1,Wrong size / fit,Online Portal,1139.77,Refurbish / re-grade
RET000013,ORD0000148,C00479,P0014,2023-10-16,14,5,Changed mind,Online Portal,1902.2,Return to vendor
RET000014,ORD0000166,C01638,P0032,2023-10-16,14,13,Wrong size / fit,In-Store,743.99,Resaleable — return to stock
RET000015,ORD0000175,C01768,P0041,2023-11-16,45,10,Gift return,Online Portal,374.4,Resaleable — return to stock
RET000016,ORD0000185,C00871,P0051,2023-10-23,21,3,Changed mind,Online Portal,882.39,Refurbish / re-grade
RET000017,ORD0000194,C00140,P0060,2023-11-16,45,63,Changed mind,Online Portal,15669.99,Return to vendor
RET000018,ORD0000199,C00732,P0065,2023-10-09,7,29,Wrong size / fit,Online Portal,5477.35,Resaleable — return to stock
RET000019,ORD0000218,C00809,P0084,2023-11-16,45,10,Wrong size / fit,Online Portal,2030.6,Resaleable — return to stock
RET000020,ORD0000262,C01089,P0129,2023-10-23,21,8,Gift return,In-Store,2946.24,Resaleable — return to stock
RET000021,ORD0000281,C01758,P0013,2023-11-02,30,17,Product defective,In-Store,20898.78,Resaleable — return to stock
RET000022,ORD0000304,C00853,P0036,2023-10-17,14,11,Wrong size / fit,Online Portal,3932.5,Refurbish / re-grade
RET000023,ORD0000313,C00639,P0045,2023-11-17,45,49,Not as described,Online Portal,16934.4,Refurbish / re-grade
RET000024,ORD0000315,C00414,P0047,2023-11-02,30,19,Not as described,In-Store,6912.2,Return to vendor
RET000025,ORD0000316,C01104,P0048,2023-10-17,14,8,Better price found,Carrier Pickup,1391.2,Refurbish / re-grade
RET000026,ORD0000322,C00391,P0054,2023-11-17,45,21,Duplicate order,Carrier Pickup,6817.23,Dispose / write-off
RET000027,ORD0000327,C00917,P0059,2023-10-24,21,21,Damaged in transit,Online Portal,5033.07,Resaleable — return to stock
RET000028,ORD0000342,C00696,P0074,2023-10-17,14,33,Duplicate order,Online Portal,5889.18,Resaleable — return to stock
RET000029,ORD0000379,C00822,P0111,2023-10-10,7,128,Not as described,Online Portal,5792.0,Return to vendor
RET000030,ORD0000392,C01327,P0124,2023-10-17,14,20,Product defective,Carrier Pickup,9076.0,Dispose / write-off
RET000031,ORD0000421,C00257,P0019,2023-10-11,7,6,Wrong size / fit,Online Portal,5773.2,Dispose / write-off
RET000032,ORD0000425,C00806,P0023,2023-11-03,30,3,Product defective,In-Store,210.48,Dispose / write-off
RET000033,ORD0000453,C00477,P0051,2023-12-03,60,18,Wrong size / fit,Carrier Pickup,5294.34,Resaleable — return to stock
RET000034,ORD0000457,C00383,P0055,2023-10-11,7,7,Changed mind,Online Portal,1454.32,Refurbish / re-grade
RET000035,ORD0000458,C00103,P0056,2023-10-18,14,26,Not as described,In-Store,7649.98,Resaleable — return to stock
RET000036,ORD0000461,C00725,P0059,2023-10-25,21,22,Gift return,In-Store,5272.74,Dispose / write-off
RET000037,ORD0000468,C01081,P0066,2023-10-25,21,14,Not as described,Online Portal,3534.72,Return to vendor
RET000038,ORD0000469,C00905,P0067,2023-10-11,7,4,Better price found,In-Store,759.76,Refurbish / re-grade
RET000039,ORD0000478,C01687,P0076,2023-11-03,30,28,Duplicate order,Online Portal,1963.92,Resaleable — return to stock
RET000040,ORD0000488,C01023,P0086,2023-11-03,30,5,Damaged in transit,Online Portal,914.85,Refurbish / re-grade
RET000041,ORD0000502,C00825,P0100,2023-10-25,21,10,Damaged in transit,Online Portal,168.8,Refurbish / re-grade
RET000042,ORD0000543,C00649,P0008,2023-10-26,21,3,Not as described,In-Store,542.94,Return to vendor
